college_code,college_name,college_type,branch_code,branch_name,cap_round,category,closing_rank,closing_percentile
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GOPENS,45820,80.7328826
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GSCS,54803,76.6166542
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GSTS,85528,58.7429854
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GVJS,53198,76.9213416
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GNT1S,55202,76.2843676
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GNT2S,47207,79.8081214
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GNT3S,58799,74.1935484
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,GOBCS,55212,76.2843676
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LOPENS,39555,83.4053417
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LSCS,58069,75.0737739
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LSTS,81275,61.4332053
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LVJS,55889,75.8673530
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LNT1S,71604,67.3938217
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LNT2S,59895,73.6426530
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LNT3S,85506,58.7429854
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,LOBCS,50933,78.3308876
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,PWDOPENS,66222,70.5106049
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,DEFOPENS,114710,36.1619626
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,TFWS,25437,89.6901790
1002,"Government College of Engineering, Amravati",Government Autonomous,100219110,Civil Engineering,I,EWS,51497,78.0675570
1002,"Government College of Engineering, Amravati",Government Autonomous,100224210,Computer Science and Engineering,I,GOPENS,6839,97.3642653
